category,chain_or_system,stage_or_modifier,driver_or_agent,activation,deactivation,symptoms_and_effects,cures_or_mitigation,source_refs
Disease Chain,Influenza,CommonCold,MDF_COMMON_COLD (INFLUENZA agent),INFLUENZA >= 100,INFLUENZA <= 0,Sneeze episodes; airborne spread can occur when sneezing,Tetracycline/antibiotics support influenza die-off; keep warm,".../Modifiers/diseases/CommonCold.c:31; .../Modifiers/diseases/CommonCold.c:54; .../PlayerSymptoms/States/Primary/SneezeState.c:35; .../TransmissionAgents/Agents/InfluenzaAgent.c:124"
Disease Chain,Influenza,Influenza,MDF_INFLUENZA (INFLUENZA agent),INFLUENZA >= 600,INFLUENZA <= 400,Cough episodes; airborne spread can occur when coughing,Tetracycline/antibiotics; vitamin/immunity support,".../Modifiers/diseases/Influenza.c:31; .../Modifiers/diseases/Influenza.c:53; .../PlayerSymptoms/States/Primary/CoughState.c:56; .../TransmissionAgents/Agents/InfluenzaAgent.c:124"
Disease Chain,Influenza,Pneumonia,MDF_PNEUMONIA (INFLUENZA severe stage),INFLUENZA >= 1150,INFLUENZA <= 1100,Gasp/heavy breathing; stamina penalties; health drain over time,Reduce influenza (antibiotics + immunity support),".../Modifiers/diseases/Pneumonia.c:29; .../Modifiers/diseases/Pneumonia.c:55; .../Modifiers/diseases/Pneumonia.c:60"
Disease Chain,Cholera,Cholera,MDF_CHOLERA (CHOLERA agent),CHOLERA >= 250,CHOLERA <= 50,Vomit; water/energy drain; temporary stamina exhaustion,Tetracycline; purify/filter contaminated water,".../Modifiers/diseases/Cholera.c:33; .../Modifiers/diseases/Cholera.c:60; .../Recipes/Recipes/PurifyWater.c:75; .../Bottle_Base/FilteringBottle.c:61"
Disease Chain,Salmonella,Salmonella,MDF_SALMONELLA (SALMONELLA agent),SALMONELLA >= 60,SALMONELLA <= 20,Vomit; pain events; water/energy drain,Charcoal tablets; wash bloody hands (prevention),".../Modifiers/diseases/Salmonella.c:37; .../Modifiers/diseases/Salmonella.c:42; .../Modifiers/CharcoalMdfr.c:85; .../Actions/Interact/ActionWashHandsWellOne.c:41"
Disease Chain,Wound Infection,WoundInfection Stage1,MDF_WOUND_INFECTION1 (WOUND_AGENT),WOUND_AGENT >= 1 and stage2 not active,NOT(stage1 activate condition),Recurring light pain,Disinfection lowers wound agent,".../Modifiers/diseases/WoundInfection.c:41; .../Modifiers/diseases/WoundInfection.c:59; .../Modifiers/DisinfectMdfr.c:70"
Disease Chain,Wound Infection,WoundInfection Stage2,MDF_WOUND_INFECTION2 (WOUND_AGENT),WOUND_AGENT >= 250,WOUND_AGENT <= 0,Heavy pain; hand shivers; health damage if no antibiotics,Antibiotics + disinfection,".../Modifiers/diseases/WoundInfection2.c:32; .../Modifiers/diseases/WoundInfection2.c:64; .../Modifiers/diseases/WoundInfection2.c:86; .../Modifiers/DisinfectMdfr.c:70"
Disease Chain,Food Poisoning,Poisoning,MDF_POISONING (FOOD_POISON agent),FOOD_POISON >= 1,Deactivates when ActivateCondition false,Vomit; water/energy drain; exhaustion,Charcoal tablets,".../Modifiers/conditions/Poisoning.c:32; .../Modifiers/conditions/Poisoning.c:37; .../TransmissionAgents/Agents/FoodPoisonAgent.c:31"
Disease Chain,Kuru,BrainDisease,MDF_BRAIN (BRAIN agent),BRAIN >= 2000,BRAIN <= 0,Laughter episodes; tremors/shakes,No direct medicinal cure in scripts,".../Modifiers/diseases/BrainDisease.c:27; .../Modifiers/diseases/BrainDisease.c:43"
Disease Chain,Contamination,Stage1,MDF_CONTAMINATION1 (CHEMICAL_POISON),CHEMICAL_POISON >= 1 and < 100,Condition no longer true,Cough,Gas mask/filter prevention; leave contaminated source,".../Modifiers/diseases/Contamination.c:28; .../Plugins/PluginBase/PluginTransmissionAgents.c:364"
