illness_id,illness_name,symptom_id,symptom_label,experience_type,evidence_summary,source_refs
influenza_common_cold,Common Cold,sneezing,Sneezing,direct,Common cold modifier queues sneeze,".../Modifiers/diseases/CommonCold.c:67"
influenza_stage,Influenza,coughing,Coughing,direct,Influenza modifier queues cough,".../Modifiers/diseases/Influenza.c:66"
influenza_stage,Influenza,sneezing,Sneezing,co_occurring,Influenza agent count at this stage also satisfies common cold threshold,".../Modifiers/diseases/Influenza.c:31; .../Modifiers/diseases/CommonCold.c:31"
influenza_stage,Influenza,fever_blur,Blurry Vision,co_occurring,Fever modifier activates from influenza and adds FeverBlur,".../Modifiers/conditions/Fever.c:21; .../Modifiers/conditions/Fever.c:29"
influenza_stage,Influenza,hot_symptom,Fever,co_occurring,Fever modifier periodically queues HOT symptom,".../Modifiers/conditions/Fever.c:63"
pneumonia_stage,Pneumonia,gasping,Gasping / Heavy Breathing,direct,Pneumonia queues gasp symptom,".../Modifiers/diseases/Pneumonia.c:68"
pneumonia_stage,Pneumonia,health_loss,Health loss,direct,Pneumonia drains health on tick,".../Modifiers/diseases/Pneumonia.c:60"
pneumonia_stage,Pneumonia,stamina_exhaustion,Stamina Loss,direct,Pneumonia activates stamina penalties,".../Modifiers/diseases/Pneumonia.c:39"
pneumonia_stage,Pneumonia,coughing,Coughing,co_occurring,Influenza stage remains active at pneumonia threshold and causes cough,".../Modifiers/diseases/Influenza.c:31; .../Modifiers/diseases/Influenza.c:66; .../Modifiers/diseases/Pneumonia.c:29"
pneumonia_stage,Pneumonia,sneezing,Sneezing,co_occurring,Common cold threshold also satisfied at pneumonia influenza levels,".../Modifiers/diseases/CommonCold.c:31; .../Modifiers/diseases/Pneumonia.c:29"
pneumonia_stage,Pneumonia,fever_blur,Blurry Vision,co_occurring,Fever modifier driven by influenza adds blur,".../Modifiers/conditions/Fever.c:21; .../Modifiers/conditions/Fever.c:29"
pneumonia_stage,Pneumonia,hot_symptom,Fever,co_occurring,Fever modifier adds hot symptom,".../Modifiers/conditions/Fever.c:63"
cholera,Cholera,vomiting,Vomiting,direct,Cholera queues vomit,".../Modifiers/diseases/Cholera.c:74"
cholera,Cholera,dehydration,Water Loss,direct,Cholera drains water continuously,".../Modifiers/diseases/Cholera.c:65"
cholera,Cholera,stamina_exhaustion,Stamina Loss,direct,Cholera vomit event adds exhaustion modifiers,".../Modifiers/diseases/Cholera.c:86"
cholera,Cholera,fever_blur,Blurry Vision,co_occurring,Fever modifier active for cholera,".../Modifiers/conditions/Fever.c:21; .../Modifiers/conditions/Fever.c:29"
cholera,Cholera,hot_symptom,Fever,co_occurring,Fever modifier queues hot,".../Modifiers/conditions/Fever.c:63"
salmonella,Salmonella,vomiting,Vomiting,direct,Salmonella queues vomit,".../Modifiers/diseases/Salmonella.c:76"
salmonella,Salmonella,light_pain,Mild Grunting,direct,Salmonella queues pain light events,".../Modifiers/diseases/Salmonella.c:105"
salmonella,Salmonella,stamina_exhaustion,Stamina Loss,direct,Salmonella vomit event applies exhaustion modifiers,".../Modifiers/diseases/Salmonella.c:90"
food_poisoning,Food Poisoning,vomiting,Vomiting,direct,Poisoning modifier queues vomit,".../Modifiers/conditions/Poisoning.c:73"
food_poisoning,Food Poisoning,stamina_exhaustion,Stamina Loss,direct,Poisoning vomit applies exhaustion modifiers,".../Modifiers/conditions/Poisoning.c:86"
wound_infection_stage1,Wound Infection Stage 1,light_pain,Mild Grunting,direct,Stage1 queues pain light,".../Modifiers/diseases/WoundInfection.c:68"
wound_infection_stage1,Wound Infection Stage 1,stamina_exhaustion,Stamina Loss,co_occurring,Fatigue modifier active during wound infection stages 1/2,".../Modifiers/conditions/Fatigue.c:22; .../Modifiers/conditions/Fatigue.c:30"
wound_infection_stage2,Wound Infection Stage 2,heavy_pain,Severe Grunting,direct,Stage2 queues pain heavy when not on antibiotics,".../Modifiers/diseases/WoundInfection2.c:86"
wound_infection_stage2,Wound Infection Stage 2,light_pain,Mild Grunting,direct,Stage2 queues pain light when antibiotics active,".../Modifiers/diseases/WoundInfection2.c:82"
wound_infection_stage2,Wound Infection Stage 2,hands_shake,Shaky Hands,direct,Stage2 adds hand shiver secondary symptom,".../Modifiers/diseases/WoundInfection2.c:47"
wound_infection_stage2,Wound Infection Stage 2,health_loss,Health loss,direct,Stage2 damages health if untreated,".../Modifiers/diseases/WoundInfection2.c:87"
wound_infection_stage2,Wound Infection Stage 2,stamina_exhaustion,Stamina Loss,co_occurring,Fatigue modifier active during wound infection,".../Modifiers/conditions/Fatigue.c:22; .../Modifiers/conditions/Fatigue.c:30"
wound_infection_stage2,Wound Infection Stage 2,fever_blur,Blurry Vision,co_occurring,Fever active on wound infection stage2,".../Modifiers/conditions/Fever.c:21; .../Modifiers/conditions/Fever.c:29"
wound_infection_stage2,Wound Infection Stage 2,hot_symptom,Fever,co_occurring,Fever queues hot symptom,".../Modifiers/conditions/Fever.c:63"
wound_infection_stage2,Wound Infection Stage 2,dehydration,Water Loss,co_occurring,Fever drains water while active,".../Modifiers/conditions/Fever.c:53"
kuru_brain_disease,Kuru (Brain Disease),laughter,Laughter Episodes,direct,Brain disease queues laughter,".../Modifiers/diseases/BrainDisease.c:53"
